question,solution
Viết hàm trả về LCM của hai số đầu vào,"
def lcm(a, b):
    if a>b:
        min_ = a
    else:
        min_ = b
    while True:
        if min_%a==0 and min_%b==0:
            break
        min_+=1
    return min_


"
Viết chương trình in ra các phần tử duy nhất trong một danh sách,"my_list = [1, 2, 4, 5, 2, 3, 1, 5, 4, 7, 8, 2, 4, 5, 2, 7, 3]

print(set(my_list))


"
Viết hàm trả về tổng các chữ số của một số cho trước,"def digisum(num):
    sum_=0
    while num > 0:
        dig = num % 10
        sum_+=dig
        num//=10
    return sum_


"
Viết chương trình kiểm tra và in ra một số có phải là số palindrome hay không,"
num = 12321
temp = num
rev = 0
while num > 0:
    dig = num % 10
    rev = rev*10 + dig
    num//=10
if temp==rev :
    print(""The number is a palindrome!"")
else:
    print(""The number isn't a palindrome!"")


"
"Viết hàm in một giá trị cho trước, n lần","def print_n(val, n):
    for _ in range(n):
        print(val)


"
Viết hàm tìm diện tích hình vuông,"def square_area(a):
    return a*a


"
Viết hàm tìm chu vi hình vuông,"def square_perimeter(a):
    return 4*a

"
Viết hàm tính diện tích hình chữ nhật,"def rectangle_area(l, b):
    return l*b

"
Viết hàm tìm chu vi hình chữ nhật,"def rectangle_perimeter(l, b):
    return 2*(l+b)

"
Viết hàm python để tìm diện tích hình tròn biết bán kính,"def findArea(r): 
    PI = 3.142
    return PI * (r*r)

"
Viết hàm tính và trả về tiền điện. Đơn vị sử dụng được đưa ra. Giá mỗi đơn vị là cố định và được tăng sau 750 đơn vị.,"
def calc_elect_bill(units):
    if units > 0:
        if units <= 750:
            return 5*units
        else:
            return 5*(750) + 7*(units-750)

    else:
        return -1


"
Viết hàm trả về ngày trong tuần khi biết số,"def give_day(n):
    day_dict = {1: 'Sunday', 2: 'Monday', 3: 'Tuesday', 4: 'Wednesday', 5: 'Thursday', 6: 'Friday', 7: 'Saturday'}
    return day_dict[n]


"
Viết chương trình tính và in ra thể tích của một hình trụ,"r = 3
h = 5
pi = 3.14
volume = pi*(r**2)*h
print(volume)


"
Viết hàm tính và trả về giá trị trung bình cộng của các số đầu vào,"
def calc_avg(*args):
    if len(args) > 0:
        return sum(args)/len(args)
    return None


"
"Viết hàm tính lãi kép cho p, r, t","def comp_int(p, r, t):
    amount = p * (1 + (r/100))**t
    interest = amount - p
    return interest


"
"Viết hàm tính lãi đơn cho p, r, t","def simp_int(p, r, t):
    interest = (p*r*t)/100
    return interest


"
"Viết chương trình in một chuỗi cho trước, thay thế tất cả các nguyên âm bằng '_'","
st = ""Where is this going? Could you please help me understand!""
vowels = ""AEIOUaeiou""

for v in vowels:
    st = st.replace(v, '_')

print(st)


"
Viết hàm kiểm tra một số có hoàn hảo hay không,"def is_perfect(n):
    sum_ = 0
    for i in range(1, n//2 + 1):
        if n%i == 0:
            sum_+=i
    if sum_ == n:
        return True
    return False

"
Viết hàm trả về danh sách số dương và số âm riêng biệt từ danh sách đầu vào,"def seperate_pn(l):
    pos_list = []
    neg_list = []
    for _ in l:
        if _<0:
            neg_list.append(_)
        else:
            pos_list.append(_)
    return pos_list, neg_list


"
Viết chương trình tìm và in ra diện tích của một hình tam giác khi biết chiều cao và chiều rộng.,"
h = 12
w = 11
area = 0.5*h*w
print(area)


"
"Viết hàm tìm gia tốc cho u, v và t","
def acc(u, v, t):
    return (v-u)/t

"
Viết hàm lambda để nhân hai số,"
multiply = lambda a, b: a*b

"
Viết hàm lambda để cộng hai số,"
add = lambda a, b: a+b

"
Viết hàm lambda cho kết quả Đúng nếu số đầu vào là số chẵn nếu không là Sai,"
even = lambda a: True if a%2 == 0 else False

"
Viết hàm lambda để cung cấp cho ký tự grom giá trị ascii,"
ascii = lambda a: chr(a)

"
Viết hàm lambda để tính số chữ số trong một số,"
dig_cnt = lambda a: len(str(a))

"
Viết chương trình kiểm tra một tam giác có đúng hay không khi nó có cả ba góc,"
def is_valid_triangle_angle(a, b c):
    if a+b+c == 180:
        return True
    return False

"
Viết chương trình kiểm tra một tam giác có đúng hay không khi biết nó có độ dài ba cạnh,"
def is_valid_triangle_length(a, b c):
    if a>0 and b>0 and c>0:
        if a+b > c and a+c > b and b+c > a:
            return True
    return False

"
Viết hàm lambda cung cấp số từ trong câu lệnh.,"
count_word = lambda s: len(s.split(' '))


"
Viết chương trình trích xuất và in các chữ số của một số theo thứ tự ngược lại. Số được nhập từ người dùng.,"
num = int(input(""Enter a number with multiple digit: ""))
n=0
while num>0:
    a = num%10
    num = num - a
    num = num/10
    print(int(a),end="""")
    n = n + 1

"
"Viết hàm lấy chiều cao (m) và cân nặng (kg), tính chỉ số BMI và in nhận xét","
def bmi(height: ""Meters"", weight: ""Kgs""):
    bmi = weight/(height**2) 
    print(""Your BMI is: {0} and you are "".format(bmi), end='')
    if ( bmi < 16):
       print(""severely underweight."")
    elif ( bmi >= 16 and bmi < 18.5):
       print(""underweight."")
    elif ( bmi >= 18.5 and bmi < 25):
       print(""healthy."")
    elif ( bmi >= 25 and bmi < 30):
       print(""overweight."")
    elif ( bmi >=30):
       print(""severely overweight."") 

"
Viết chương trình in tất cả các bảng chữ cái trong một chuỗi và bỏ qua tất cả các ký tự khác,"
string = ""$john.snow#@Got.bad_ending/com""
for ch in string:
    if (ch>='A' and ch<='Z') or (ch>='a' and ch<='z'):
        print(ch, end='')
    else:
        pass

"
Viết hàm lấy số đĩa trong bài toán tháp hanaoi và trả về số bước tối thiểu cần thiết,"
def hanoi(x):
    if x == 1:
        return 1
    else:
        return 2*hanoi(x-1) + 1

"
Viết hàm lambda để đổi centimet sang inch,"
cm_to_inch = lambda x: x/2.54

"
Viết hàm lambda để tìm hợp của hai danh sách,"
union = lambda a, b: list(set(a)|set(b))

"
Viết hàm lambda để tìm giao điểm của hai danh sách,"
intersection = lambda a, b: list(set(a)&set(b))

"
Viết chương trình cộng bình phương của hai số và in ra,"
a = 32
b = 21

result = a**2 + b**2
print(result)

"
Viết hàm python để nối các chuỗi đầu vào và cũng có sự lựa chọn cho dấu phân cách,"
def con_str(*args, sep = ' '):
  return sep.join(args)

"
Viết chương trình in ra tất cả các số chẵn trong một dãy,"
r1, r2 = 1, 28

for _ in range(r1, r2+1):
  if _%2 == 0:
    print(_)

"
viết chương trình python để sắp xếp các mục từ điển,"dict1 = {'car': [7, 6, 3],  
             'bike': [2, 10, 3],  
             'truck': [19, 4]}

print(f""The original dictionary is : {str(dict1)}"") 

res = dict() 
for key in sorted(dict1): 
    res[key] = sorted(dict1[key])

print(f""The sorted dictionary : {str(res)}"")

"
viết chương trình hiển thị ngày giờ,"import datetime
now = datetime.datetime.now()
time= now.strftime(""%Y-%m-%d %H:%M:%S"")
print(f""Current date and time : {time}"")

"
viết chương trình trả về giá trị tuyệt đối,"num = -10
print(f'Absolute of {num} is {abs(num)}')

"
viết chương trình python để kiểm tra độ dài của danh sách,"sample_list = ['a','b','c']
print(f'length of sample_list is {len(sample_list)}')

"
viết chương trình Python để tính số ngày giữa hai ngày.,"from datetime import date
f_date = date(2019, 4, 15) 
l_date = date(2020, 4, 15) 
delta = l_date - f_date
print(f'No of days between {f_date} and {l_date} is:{delta.days}')

"
viết chương trình Python để chuyển đổi các đối tượng Python thành chuỗi JSON.,"import json
python_dict =  {""name"": ""David"", ""age"": 6, ""class"":""I""}
json_dict = json.dumps(python_dict, sort_keys=True, indent=4)
print(f""json dict : {json_dict}"")

"
viết chương trình Python để lấy số lớn nhất từ ​​danh sách,"def max_num_in_list(list):
    max = list[0]
    for a in list:
        max = a if a > max else max
    return max
print(f'max_num_in_list [1, 10, -8, 0], Ans:{max_num_in_list([1, 10, -8, 0])}')

"
viết chương trình Python để loại bỏ các bản sao khỏi danh sách,"a = [10,20,30,20,10,50,60,40,80,50,40]

dup_items = set()
uniq_items = []
for x in a:
    if x not in dup_items:
        uniq_items.append(x)
        dup_items.add(x)

print(f'dup_items:{dup_items}')

"
viết chương trình Python để làm phẳng danh sách nông,"import itertools
original_list = [[2,4,3],[1,5,6], [9], [7,9,0], [1,2,3,4]]
new_merged_list = list(itertools.chain(*original_list))
print(f'merged list/flatten:{new_merged_list}')

"
viết chương trình Python để tạo nhiều danh sách,"
obj = {}
for i in range(1, 11):
    obj[str(i)] = []
print(f'create multiple list:{obj}')

"
viết chương trình Python để hợp nhất hai từ điển,"
d1 = {'a': 100, 'b': 200}
d2 = {'x': 300, 'y': 200}
d = d1.copy()
d.update(d2)
print(f'merge two dictionaries:{d}')

"
viết chương trình Python để tính tổng tất cả các mục trong từ điển,"
my_dict = {'data1':100,'data2':-54,'data3':247}
print(f'Sum all the items in a dictionary:{sum(my_dict.values())}')

"
viết chương trình python để lấy giá trị tối đa và tối thiểu trong từ điển,"
my_dict = {'x':500, 'y':5874, 'z': 560}

key_max = max(my_dict.keys(), key=(lambda k: my_dict[k]))
key_min = min(my_dict.keys(), key=(lambda k: my_dict[k]))

print('Maximum Value in a dictionary: ',my_dict[key_max])
print('Minimum Value in a dictionary: ',my_dict[key_min])

"
viết chương trình python để không làm gì với một điều kiện,"
if 1 + 1 == 2:
    pass

"
viết chương trình python để sử dụng phương thức liệt kê,"
for count, value in enumerate(obj):
    print(count, value)

"
viết chương trình python để sử dụng setdefault cho các khóa từ điển bị thiếu,"a_dict = {'a':1}
a_dict.setdefault('b',2)
print(f'After appending with new value:{a_dict}')

"
viết chương trình python để sử dụng bản đồ,"
def square(number):
    return number ** 2

numbers = [1, 2, 3, 4, 5]

squared = map(square, numbers)

print(f'mapped numbers:{list(squared)}')

"
viết chương trình python để sử dụng toán tử modulo,"
print(f'modulo 15 % 4: Sol->{15 % 4}')

"
viết chương trình python để giải thích phạm vi bao quanh và phạm vi toàn cầu,"
x = 'global'

def f():
    x = 'enclosing'
    def g():
        print(x)
    g()
    return x
obj1 = f()
print('explain global scope:',obj1)

"
viết chương trình python để mở rộng phạm vi cục bộ và toàn cầu,"
def f1():
    x = 'enclosing'
    def g():
        x = 'local'
        return x
    x=g()
    return x
obj2 = f1()
print('explain local scope:',obj2)

"
viết chương trình python để sử dụng biểu thức chính quy để so khớp,"import re
print('Find the characters in the given string:',re.findall(r'[a-z]+', '123FOO456', flags=re.IGNORECASE))

"
viết chương trình python để sử dụng biểu thức chính quy để so khớp,"s = 'foo123bar'
m = re.findall('123', s)
print('find the number position:',m)

"
viết chương trình python để chuyển chuỗi thường thành CHỮ HOA,"a = 'string'
print(f'convert lowercase to uppercase:{a.upper()}')

"
viết chương trình python để chuyển chuỗi hoa thành chuỗi thường,"a = 'STRING'
print(f'convert lowercase to uppercase:{a.lower()}')

"
viết chương trình Python để tìm căn bậc hai,"num = 8 

num_sqrt = num ** 0.5
print('The square root of %0.3f is %0.3f'%(num ,num_sqrt))

"
viết chương trình Python để chuyển đổi km sang dặm,"kilometers = 10.0

conv_fac = 0.621371

miles = kilometers * conv_fac
print('%0.2f kilometers is equal to %0.2f miles' %(kilometers,miles))

"
viết chương trình Python để chuyển đổi độ C sang độ F,"celsius = 37.5
fahrenheit = (celsius * 1.8) + 32
print('%0.1f degree Celsius is equal to %0.1f degree Fahrenheit' %(celsius,fahrenheit))

"
"viết chương trình Python để kiểm tra xem một số là dương, âm hay 0","num = 10
if num > 0:
   print(""Positive number"")
elif num == 0:
   print(""Zero"")
else:
   print(""Negative number"")

"
Chương trình Python để kiểm tra xem một số là số lẻ hay số chẵn,"num = 100
if (num % 2) == 0:
   print(""{0} is Even"".format(num))
else:
   print(""{0} is Odd"".format(num))

"
Chương trình Python để hiển thị bảng nhân,"num = 12
for i in range(1, 11):
   print(num, 'x', i, '=', num*i)

"
viết chương trình tung xúc xắc,"import random
min = 1
max = 6

print(""Rolling the dices...and the values are"",random.randint(min, max))
print(""Rolling the dices...and the values are"",random.randint(min, max))

"
viết chương trình python để tính giá trị trung bình,"list1 = [1,3,4,5]
average = (sum(list1)) / len(list1)
print(f""the average score is:  {average} "")

"
viết chương trình python để in danh sách đảo ngược,"print(f'reverese the given list elements:{list1[::-1]}')

"
viết chương trình python để tạo thread,"import threading
from threading import Thread
import time

def print_time( threadName, delay):
    count = 0
    while count < 5:
        time.sleep(delay)
        count += 1
        print(""%s: %s"" % ( threadName, time.ctime(time.time()) ))

"
viết chương trình python để kiểm tra một số có nhỏ hơn 1000 không,"def near_thousand(n):
      return ((abs(1000 - n) <= 100) or (abs(2000 - n) <= 100))
print('near to 1000',near_thousand(1000))
print('near to 1300',near_thousand(1300))

"
viết chương trình python để chuyển chữ thường thành chữ hoa cho danh sách các phần tử,"
x = ['ab', 'cd']
for i in x:
    print(i.upper())

"
viết chương trình python để ngắt khi số chia hết hoàn toàn,"i = 1
while True:
    if i%3 == 0:
        break
    print(i)
 
    i+= 1

"
viết chương trình python để kiểm tra tên tồn tại trong danh sách đã cho,"names1 = ['Amir', 'Bala', 'Chales']
for n in names1:
    name = n.lower()
    if 'amir' == name:
        print('Yes name exists:',name)
    else:
        print('No')

"
viết chương trình python để in ma trận làm đầu ra,"matrix = [[1, 2, 3, 4],
       [4, 5, 6, 7],
       [8, 9, 10, 11],
       [12, 13, 14, 15]]
 
for i in range(0, 4):
    print(matrix[i][1], end = "" "")

"
viết chương trình python để tính thời gian thực hiện,"
from time import localtime

activities = {8: 'Sleeping',
              9: 'Commuting',
              17: 'Working',
              18: 'Commuting',
              20: 'Eating',
              22: 'Resting' }

time_now = localtime()
hour = time_now.tm_hour

for activity_time in sorted(activities.keys()):
    if hour < activity_time:
        print (activities[activity_time])
        break
else:
    print ('Unknown, AFK or sleeping!')


"
viết chương trình python để tìm kiếm khóa trong tệp văn bản,"fname = 'sample.txt'
l='keyword' 
k = 0
 
with open(fname, 'r') as f:
    for line in f:
        words = line.split()
        for i in words:
            if(i==l):
                k=k+1
print(""Occurrences of the letter:"",k)

"
viết chương trình python để mở rộng khả năng hiểu danh sách và in các giá trị thay thế,"t = (1, 2, 4, 3, 8, 9)
print([t[i] for i in range(0, len(t), 2)])

"
viết chương trình python để sắp xếp các giá trị tuple,"a=(2,3,1,5)
tuple_sorted = sorted(a)
print(tuple(tuple_sorted))

"
viết chương trình python vào nhiều giá trị hai danh sách,"l1=[1,2,3]
l2=[4,5,6]
print('multiply two list values:',[x*y for x in l1 for y in l2])

"
viết phần hiểu danh sách để chỉ chọn ra các số nguyên âm từ danh sách 'l' nhất định.,"l1=[1,2,3,-4,-8]

print('negative integers:', [x for x in l1 if x<0])

"
viết chương trình python để chuyển đổi tất cả các thành phần trong danh sách sang chữ hoa,"s=[""pune"", ""mumbai"", ""delhi""]
print([(w.upper(), len(w)) for w in s])

"
viết chương trình python để mở rộng phương thức zip python,"l1=[2,4,6]
l2=[-2,-4,-6]
for i in zip(l1, l2):
    print(i)

"
viết chương trình python để thêm hai danh sách bằng phương thức zip python,"
l1=[10, 20, 30]
l2=[-10, -20, -30]
l3=[x+y for x, y in zip(l1, l2)]
print('added two list:',l3)

"
viết một danh sách hiểu về số và khối của nó,"l=[1, 2, 3, 4, 5, 6, 7, 8, 9]
print([x**3 for x in l])

"
viết phần hiểu danh sách để in dòng thành cột và vv,"
l=[[1 ,2, 3], [4, 5, 6], [7, 8, 9]]
print([[row[i] for row in l] for i in range(3)])

"
viết phần hiểu danh sách để in dòng thành cột và vv,"
def unpack(a,b,c,d):
    print(a+d)
x = [1,2,3,4]
unpack(*x)

"
viết chương trình python để sử dụng hàm lambda python,"lamb = lambda x: x ** 3
print(lamb(5))

"
viết chương trình python để nhân một chuỗi n lần,"a = 'python'
print(a*5)

"
viết python để kiểm tra hai số lớn hơn hoặc bằng hoặc nhỏ hơn,"def maximum(x, y):
    if x > y:
        return x
    elif x == y:
        return 'The numbers are equal'
    else:
        return y
 
print(maximum(2, 3))

"
viết một con trăn để ra lệnh nén và in dưới dạng các phần tử từ điển ở dạng ban đầu,"
a={""a"":1,""b"":2,""c"":3}
b=dict(zip(a.values(),a.keys()))
print(b)


"
viết chương trình python để xóa một phần tử từ điển,"a={1:5,2:3,3:4}
a.pop(3)
print(a)

"
viết chương trình python để kiểm tra 2 từ điển có bằng nhau hay không,"d1 = {""john"":40, ""peter"":45}
d2 = {""john"":466, ""peter"":45}
d1 == d2

"
viết chương trình python để chỉ in các khóa từ điển dưới dạng danh sách,"
d = {""john"":40, ""peter"":45}
print(list(d.keys()))

"
viết chương trình python để kiểm tra hai danh sách có bằng nhau hay không,"
a=[1, 4, 3, 5, 2]
b=[3, 1, 5, 2, 4]
print(a==b)

"
viết chương trình python để kiểm tra hai danh sách có bằng nhau hay không,"
a=frozenset(set([5,6,7]))
print(a)

"
viết chương trình python để tính tổng tập hợp các phần tử không có giá trị,"
a={5,6,7}
print(sum(a,5))

"
viết chương trình python để thực hiện mã thử bắt,"
try:
    s={5,6}
    s*3
except Exception as e:
    print(e)


"
viết chương trình python để đếm len của các phần tử duy nhất,"
nums = set([1,1,2,3,3,3,4,4])
print(len(nums))

"
viết chương trình python để phân chia trong python,"
print('abcdefcdghcd'.split('cd', 2))

"
viết chương trình python để thêm tiêu đề vào chuỗi,"print('ab cd-ef'.title())

"
viết chương trình python để in độ dài chuỗi bằng nhau,"print('ab'.zfill(5))

"
viết chương trình python để sử dụng chuỗi thay thế,"print('abcdef12'.replace('cd', '12'))

"
viết chương trình python để kiểm tra chuỗi istitle,"str1 = 'Hello!2@#World'
if str1.istitle():
    print('Yes string is title')

"
viết chương trình python để thực hiện lstrip trên chuỗi,"
print('xyyzxxyxyy'.lstrip('xyy'))

"
viết chương trình python để kiểm tra định danh/từ khóa,"print('for'.isidentifier())

"
viết chương trình python để kiểm tra có phải là num/int không,"print('11'.isnumeric())

"
viết chương trình python để kiểm tra xem một biến có thể in được không,"print('1@ a'.isprintable())

"
viết chương trình python để kiểm tra xem nó có chứa khoảng trống không,"print(''''''.isspace())

"
viết chương trình python để kiểm tra tiêu đề,"print('HelloWorld'.istitle())

"
viết chương trình python để kiểm tra xem tất cả có phải là num/int không,"print('ab,12'.isalnum())

"
viết chương trình python để kiểm tra xem tất cả có phải là chữ và số không,"print('ab'.isalpha())

"
viết chương trình python để kiểm tra xem tất cả có phải là chữ số không,"print('0xa'.isdigit())

"
viết chương trình python để sử dụng chuỗi f,"var1 = 'python language'
print(f'f-string is an good feature in {var1}')

"
viết chương trình python để lặp lại một lệnh và nối,"
D=dict(p='san', q='foundry')
print('{p}{q}'.format(**D))

"
viết chương trình python để thay thế khoảng trống thành 1,"a='1 0 0 1'
print(a.replace(' ', '1'))

"
viết chương trình python để giải thích về trình tạo,"def f11(x):
    yield x+1
g=f11(8)
print(next(g))

"
viết chương trình python để thay thế khoảng trống thành 1,"def f12(x):
    yield x+1
    print(""test"")
    yield x+2
g=f12(9)
print(next(g))

"
viết chương trình python để thay thế khoảng trống thành 1,"a = re.compile('[0-9]')
z= a.findall('3 trees')
print(z)

"
viết chương trình python để in thư mục làm việc hiện tại,"import os
print(os.getcwd())

"
viết chương trình python để in giá trị ascii của một chuỗi,"print([ord(ch) for ch in 'abc'])

"
viết chương trình python để sử dụng phần mở rộng trong danh sách/chắp thêm vào danh sách,"a=[13,56,17]
a.append([87])
a.extend([45,67])
print(a)

"
viết chương trình python để thay thế khoảng trống thành 1,"my_string = 'balaji'
k = [print(i) for i in my_string if i not in ""aeiou""]
print('Not a vowel',k)

"
viết chương trình python để cộng và bình phương một dãy số,"x = [i**+1 for i in range(3)]; print(x)

"
viết chương trình python để thay thế khoảng trống thành 1,"print([i+j for i in ""abc"" for j in ""def""])

"
viết chương trình python để nhân hai danh sách với danh sách toàn diện,"l1=[1,2,3]
l2=[4,5,6]
print([x*y for x in l1 for y in l2])

"
viết chương trình python để chỉ in chữ số hoặc chỉ apha charac trong một danh sách nhất định,"l=[""good"", ""oh!"", ""excellent!"", ""#450""]
print([n for n in l if n.isalpha() or n.isdigit()])

"
viết chương trình python để in ngày hôm nay,"tday=datetime.date.today()
print(tday)

"
viết chương trình python để kiểm tra tuple là bất biến,"a=(1,2,3)
try:
    a = a+1
except Exception as e:
    print(e)

"
viết chương trình python để tính tổng giai thừa bằng cách sử dụng danh sách toàn diện,"import functools 
n =5
print(functools.reduce(lambda x, y: x * y, range(1, n+1)))

"
viết chương trình python để in len của từng ký tự,"words = ['cat', 'window', 'defenestrate']
for w in words:
    print(w, len(w))
    
"
viết chương trình python để tăng dần mỗi lần gọi phương thức bằng hàm lambda,"def make_incrementor(n):
    return lambda x: x + n
f = make_incrementor(42)
f(0)
print(f(1))

"
viết chương trình python để sắp xếp bằng cách sử dụng danh sách toàn diện,"pairs = [(1, 'one'), (2, 'two'), (3, 'three'), (4, 'four')]
pairs.sort(key=lambda pair: pair[1])
print(pairs)

"
viết chương trình python để xóa phần tử đầu tiên của mảng/danh sách,"a = [-1, 1, 66.25, 333, 333, 1234.5]
del a[0]
print(a)

"
viết chương trình python để thay thế ký tự đầu tiên của một từ nhất định,"word = ""goal""
word = ""f"" + word[1:]
print(word)

"
viết chương trình python để tìm một chuỗi trong một cụm từ nhất định,"phrase = ""the surprise is in here somewhere""
print(phrase.find(""surprise""))

"
viết chương trình python để giải thích cách sử dụng chuỗi f,"n = 3
m = 4
print(f""{n} times {m} is {n*m}"")

"
viết chương trình python để giải thích việc sử dụng khẳng định,"x=1
y=8
assert x>y, 'X too small'

"
viết chương trình python để nhân ba số,"num1 = 1.5
num2 = 6.3
num3 = -2.3
product = num1 * num2 * num3
print(f'Product: {product}')


"
"viết hàm python khi cho hai số, sẽ chia số thứ nhất cho số thứ hai và trả về thương và số dư","def divide_first_number_by_second(num1, num2):
    return (num1 // num2), (num1 % num2)


"
viết hàm python để trả về số lớn nhất và nhỏ nhất trong danh sách đã cho và trả về Không nếu danh sách trống,"def largest_and_smallest(list_of_nums):
    if list_of_nums:
        return max(list_of_nums), min(list_of_nums)
    else:
        return


"
"viết hàm python đệ quy để in số fibonacci thứ n, trong đó n được cung cấp làm đối số","def fibonacci_recursive(n):
   if n <= 1:
       return n
   else:
       return (recur_fibo(n-1) + recur_fibo(n-2))


"
viết hàm python để đọc đường dẫn tệp đầu vào đã cho và in nội dung của nó,"def read_and_print_file(filepath):
    with open(filepath, ""r"") as infile:
        print( infile.read() )


"
viết chương trình python in n số nguyên dương đầu tiên bằng vòng lặp for,"n = 62
for num in range(n):
    print(num)


"
viết hàm python trả về danh sách đầu vào được sắp xếp theo thứ tự tăng dần,"def sort_ascending(list_to_be_sorted):
    return sorted(list_to_be_sorted)


"
viết hàm python trả về danh sách đầu vào được sắp xếp theo thứ tự giảm dần,"def sort_descending(list_to_be_sorted):
    return sorted(list_to_be_sorted, reverse=True)


"
"viết hàm python trả về tổng của n số tự nhiên đầu tiên, trong đó n là đầu vào","def sum_first_n(n):
    return ( n * (n+1) ) // 2


"
"viết hàm python đệ quy trả về tổng của n số tự nhiên đầu tiên, trong đó n là đầu vào","def sum_first_n_recursive(n):
    if n == 0:
        return 0
    return sum_first_n_recursive(n-1) + n


"
"viết một hàm python để lọc danh sách các từ điển trong đó khóa được chỉ định bằng giá trị đã cho, list_of_dictionaries, khóa và giá trị là đầu vào cho hàm này.","def filter_with_key_value(list_of_dicts, key, value):
    return list( filter( lambda x: x.get(key) == value, list_of_dicts ) )


"
viết hàm python đệ quy lấy danh sách hoặc bộ dữ liệu làm đầu vào và đảo ngược thứ tự các phần tử của nó,"def reverse(seq):
    SeqType = type(seq)
    emptySeq = SeqType()
    if seq == emptySeq:
        return emptySeq
    restrev = reverse(seq[1:])
    first = seq[0:1]
    result = restrev + first
    return result


"
viết hàm python trả về bình phương của một số đầu vào đã cho,"def square(x):
    return x**2


"
